LabID,LabSmplID,SmplDate,CoopName,Experiment,PlowDepth,PH,BpH,OM,P,K
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOH1,7,6.4,6.6,2.3,18,104
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOI1,7,6.3,6.5,2.7,25,164
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOH2,7,7.1,,1.5,51,80
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOI2,7,7.2,,1.6,57,83
UW Soil & Plant Analysis Lab,6082,6/24/15,LISA COFFEY,IAI3,7,6.3,6.5,4.9,108,217
UW Soil & Plant Analysis Lab,6082,6/24/15,LISA COFFEY,IAI4,7,5.6,6,4.3,46,133
UW Soil & Plant Analysis Lab,6082,6/24/15,LISA COFFEY,IAI3,7,6.4,6.6,2.6,50,159
UW Soil & Plant Analysis Lab,5910,5/27/15,JANE PETZOLDT,WIH1,7,6.9,,3.4,43,142
UW Soil & Plant Analysis Lab,5910,5/27/15,JANE PETZOLDT,WII1,7,6.7,,4,61,172
Soil & Forage Analysis Lab,6828,12/7/15,Jode W Edwards,IAH4,7,6.4,6.4,4.4,42,95
UW Soil & Plant Analysis Lab,6235,7/23/15,JODE EDWARDS,IA(?)2,7,6.7,,3.1,27,104
UW Soil & Plant Analysis Lab,6235,7/23/15,JODE EDWARDS,IA(?)3,7,7.5,,3.7,61,137
UW Soil & Plant Analysis Lab,5914,5/27/15,JODE EDWARDS,IAH1,7,5.3,6,3.2,34,118
UW Soil & Plant Analysis Lab,5914,5/27/15,JODE EDWARDS,IAH2,7,6,6.2,3.5,34,98
UW Soil & Plant Analysis Lab,5914,5/27/15,JODE EDWARDS,IAH3,7,6.5,6.5,3.4,38,114
UW Soil & Plant Analysis Lab,5914,5/27/15,JODE EDWARDS,IA(H4),7,5.7,6.1,4.2,37,96
UW Soil & Plant Analysis Lab,6016,6/12/15,NICK LAUTER,IAI1,7,6.8,,3.4,13,114
UW Soil & Plant Analysis Lab,6016,6/12/15,NICK LAUTER,IAI1,7,5.8,6.2,3.3,33,117
UW Soil & Plant Analysis Lab,6016,6/12/15,NICK LAUTER,IAI2,7,6.3,6.6,3.2,15,122
UW Soil & Plant Analysis Lab,6016,6/12/15,NICK LAUTER,IAI2,7,6,6.3,3.3,23,120
UW Soil & Plant Analysis Lab,5953,6/2/15,ANDY LINVILL,INH1,7,6.4,6.6,2.2,16,85
UW Soil & Plant Analysis Lab,6297,8/4/15,JANE PETZOLDT,INH1,7,5.4,5.9,3.4,30,140
UW Soil & Plant Analysis Lab,5953,6/2/15,ANDY LINVILL,INH1,7,6.1,6.5,2.9,14,86
UW Soil & Plant Analysis Lab,6297,8/4/15,JANE PETZOLDT,INI1,7,5.5,5.9,3.4,29,150
UW Soil & Plant Analysis Lab,5804,5/8/15,IGNACIO A CIAMPITTI,KSH1,7,6.5,6.7,2.1,11,145
UW Soil & Plant Analysis Lab,5804,5/8/15,IGNACIO A CIAMPITTI,KSI1,7,6,6.6,2.2,11,148
UW Soil & Plant Analysis Lab,5930,5/29/15,JACOB GARFIN,MN(?)1,7,6.4,6.6,3.7,186,242
UW Soil & Plant Analysis Lab,5931,5/29/15,JACOB GARFIN,MN(?)1,7,6.7,,3,131,202
UW Soil & Plant Analysis Lab,5930,5/29/15,JACOB GARFIN,MNH1,7,6.2,6.5,4.2,19,109
UW Soil & Plant Analysis Lab,5931,5/29/15,JACOB GARFIN,MNI1,7,6.8,,4.8,38,135
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOH1,7,6.8,,2.2,25,139
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOH2,7,6.9,,2.1,26,107
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOI1,7,6.7,,2.2,20,126
UW Soil & Plant Analysis Lab,5898,5/26/15,SHERRY FLINT-GARCIA,MOI2,7,6.6,,2.2,20,120
UW Soil & Plant Analysis Lab,6134,7/7/15,GREG KRUGER,NEH2,7,5.8,6.4,1.6,40,330
UW Soil & Plant Analysis Lab,6134,7/7/15,GREG KRUGER,NEH3,7,6.5,6.7,1.7,23,367
UW Soil & Plant Analysis Lab,5607,4/23/15,GREG KRUGER,NEH3,7,6.4,6.9,2,27,455
UW Soil & Plant Analysis Lab,6135,7/7/15,NICK LYAK,NY?,7,8.1,,2.5,12,38
UW Soil & Plant Analysis Lab,5972,6/5/15,NICK LEPOK,NYH2,7,7.6,,2.5,13,39
UW Soil & Plant Analysis Lab,5972,6/5/15,NICK LEPOK,NYH3,7,7.8,,2.4,21,49
UW Soil & Plant Analysis Lab,5972,6/5/15,NICK LEPOK,NYI2,7,7.6,,2.3,21,50
UW Soil & Plant Analysis Lab,6236,7/23/15,ROBERT SNYDER,PAI1,7,6.6,,1.8,47,76
UW Soil & Plant Analysis Lab,6236,7/23/15,ROBERT SNYDER,PAI2,7,6.9,,1.6,57,68
UW Soil & Plant Analysis Lab,5920,5/28/15,CHRISTOPHER GRAHAM,SDH1,7,6.9,,2.9,16,281
UW Soil & Plant Analysis Lab,5920,5/28/15,CHRISTOPHER GRAHAM,SDH1,7,6.5,6.6,3,26,316
UW Soil & Plant Analysis Lab,5996,6/11/15,JANE OETZOLDT,WIH2,7,6.4,6.6,3.1,82,200
UW Soil & Plant Analysis Lab,5996,6/11/15,JANE OETZOLDT,WII2,7,6.6,,3.2,90,186
Soil & Forage Analysis Lab,6828,12/7/15,Jode W Edwards,IAH1,7,7,,3.4,12,107